"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC7A14",-2.27348523245214,0.81183402146986,-26.7708610328618,2.21811609783776e-124,3.73261667939419e-122,273.291667967036
"ASPA",-3.61176843224744,3.07885218827415,-26.738941881222,3.79621287637717e-124,6.33628051642466e-122,272.755815725803
"ABCB5",-4.24547765916614,2.430060776218,-26.7303146208796,4.38948689532558e-124,7.26743273879308e-122,272.611011056419
"CENPM",3.02316165459226,6.80851040462428,26.6216674158307,2.72993585552387e-123,4.48364664911241e-121,270.788446042806
"MASP1",-4.30471436133635,2.81710132122213,-26.6059131766602,3.55777347569751e-123,5.79691186159284e-121,270.52432697125
"C13orf36",-2.66515223896112,0.88286284062758,-26.6046063028495,3.63679926812898e-123,5.87901487989669e-121,270.502419120592
"ASPM",3.731943056022,8.51300867052023,26.5870515204665,4.88504985519261e-123,7.83516199430501e-121,270.208165743468
"CCNB2",3.30254751715204,8.21786061106524,26.5735035951092,6.13413948469531e-123,9.76231655975152e-121,269.981109978146
"HSPB7",-4.41302680676166,5.69157456647399,-26.5714723949734,6.34713883467195e-123,1.00235969442935e-120,269.947070789528
"GYS2",-2.95517439987846,0.955500412881916,-26.5394056253647,1.08785855209913e-122,1.70486534920574e-120,269.409780848814
"LOC286367",-2.6877689831918,4.9747014863749,-26.53556142531,1.16043011419695e-122,1.80482047306541e-120,269.345381356615
"PALMD",-2.94730169601305,8.85495656482246,-26.5257378187157,1.36862776805522e-122,2.11262617129126e-120,269.180823724958
"CKS2",2.46573686049672,8.95361345995045,26.5173305039467,1.57620928734235e-122,2.41489378127899e-120,269.040003473948
"LOC90586",-2.17883369796414,1.30330867052023,-26.4812108481189,2.89092316213722e-122,4.39634463101313e-120,268.435142970965
"CDKN3",2.93368390266916,6.918430388109,26.4651034370468,3.78859619259178e-122,5.71910881131686e-120,268.165478237621
"CEP68",-1.30801445729181,9.52277960363336,-26.4612640099851,4.0408192685669e-122,6.05532989661887e-120,268.101206290625
"NIPSNAP3B",-2.6699135737018,4.81441288191577,-26.4347159979484,6.30938014445131e-122,9.38634596852069e-120,267.656860789906
"LOC728264",-3.82010605079242,7.23220668868704,-26.4331302654733,6.47953733971388e-122,9.57013680462776e-120,267.630323458509
"LEPR",-3.20858082809576,7.63439190751445,-26.4103485236837,9.49650871127588e-122,1.39259517030353e-119,267.249116452243
"POC1A",2.04405184954182,7.5947465730801,26.4051109006805,1.03687718284207e-121,1.5097225931736e-119,267.161487685298
"LRRTM2",-2.93151855219179,3.19728901734104,-26.339573712639,3.11233103864598e-121,4.49972931150718e-119,266.06540289278
"TOP2A",3.67204236834108,10.794429314616,26.3390256789978,3.14105977741422e-121,4.50950749862335e-119,266.056240325182
"KIFC1",3.11331769658878,8.76094170107349,26.2674797788129,1.04191895583032e-120,1.48545806688864e-118,264.860508419573
"TMEM220",-2.62208258328136,5.73062716763006,-26.2483738608092,1.43494240663501e-120,2.03168052470461e-118,264.541344648545
"CLEC3B",-3.65814108333735,7.439151940545,-26.2397774955743,1.65716712985906e-120,2.33024939561689e-118,264.397763295879
"C3orf50",-1.24641828351645,0.337937819983485,-26.2183037084125,2.37436227833695e-120,3.31603112750052e-118,264.039152135207
"NDC80",3.33040380383503,7.54203055326177,26.1805582158273,4.46671830677273e-120,6.19606262419217e-118,263.40899946248
